order_id,customer_id,customer_name,product_id,product_name,product_category,country,payment_type,city,qty,price,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason,datetime
1,23,Xavier,60,Fiction Novel,books,India,PayPal,New Delhi,2,8.0,Ali Express,10001,N,Network error,2023-12-26 10:21:49
2,17,Rachel,18,Printer,electronics,Germany,Debit Card,Hamburg,4,1200.0,Ebay,10002,N,Card Expired,2023-10-07 06:18:29
3,56,Ethan,61,Science Fiction,books,India,Debit Card,Mumbai,2,9.5,Ebay,10003,Y,N/A,2024-12-31 11:55:20
4,60,Ivan,18,Printer,electronics,Germany,Debit Card,Berlin,8,2400.0,Ebay,10004,Y,N/A,2023-12-24 04:56:20
5,52,Adam,43,Air Conditioner,home appliances,UK,Cryptocurrency,London,5,380.0,Argos,10005,Y,N/A,2020-05-02 00:22:46
6,46,Ulrich,87,Table Tennis Paddle,sports,USA,Credit Card,LA,4,272.0,Amazon,10006,N,Network Issue,2023-02-13 17:15:56
7,53,Bella,81,Basketball,sports,USA,Debit Card,New York,5,75.0,Amazon,10007,Y,N/A,2022-05-04 19:00:31
8,25,Zach,0,Smartphone,electronics,USA,Debit Card,New York,8,4000.0,Ebay,10008,Y,N/A,2022-04-01 19:35:50
9,25,Zach,55,Air Purifier,home appliances,USA,Credit Card,LA,7,1071.0,Amazon,10009,N,Incufficient Funds,2023-08-23 19:52:44
10,92,Patrick,81,Basketball,sports,India,PayPal,New Delhi,4,15.0,Ali Express,10010,Y,N/A,2023-10-08 09:13:39
11,42,Quinn,87,Table Tennis Paddle,sports,USA,Credit Card,LA,5,340.0,Amazon,10011,Y,N/A,2023-01-14 16:57:22
12,36,Kate,38,Sportswear,clothing,USA,Debit Card,New York,9,108.0,Amazon,10012,Y,N/A,2023-09-16 19:56:59
13,52,Adam,77,Health and Fitness Book,books,UK,Debit Card,Manchester,2,80.0,Ali Express,10013,Y,N/A,2023-02-17 01:35:42
14,65,Nina,65,Self-Help Book,books,UK,Cryptocurrency,London,5,240.0,Argos,10014,Y,N/A,2021-09-20 03:49:10
15,25,Zach,63,Thriller Book,books,USA,Credit Card,LA,6,126.0,Amazon,10015,Y,N/A,2024-10-20 17:30:48
16,77,Abigail,14,External Hard Drive,electronics,Germany,Debit Card,Hamburg,3,240.0,Ebay,10016,Y,N/A,2020-11-17 03:26:29
17,72,Veronica,13,Monitor,electronics,UK,Debit Card,Manchester,5,1250.0,Argos,10017,Y,N/A,2021-03-18 02:10:27
18,18,Steve,6,Wireless Earbuds,electronics,Germany,Debit Card,Hamburg,6,1800.0,Ebay,10018,N,Card Expired,2022-03-25 11:52:35
19,1,Bob,62,Mystery Book,books,India,PayPal,New Delhi,1,8.25,Ali Express,10019,N,Network error,2021-05-21 04:01:38
20,88,Liam,2,Tablet,electronics,UK,Cryptocurrency,London,1,550.0,Argos,10020,Y,N/A,2021-09-25 01:53:12
21,64,Marcus,67,Children's Book,books,UK,Cryptocurrency,London,2,194.0,Argos,10021,Y,N/A,2022-02-21 01:20:43
22,90,Noah,47,Electric Kettle,home appliances,UK,Cryptocurrency,London,1,67.0,Argos,10022,Y,N/A,2024-05-18 03:36:56
23,72,Veronica,26,Dress,clothing,USA,Credit Card,LA,2,90.0,Amazon,10023,Y,N/A,2022-06-21 17:43:17
24,77,Abigail,10,Power Bank,electronics,India,PayPal,New Delhi,1,25.0,Ali Express,10024,N,Card Expired,2020-10-09 12:34:13
25,36,Kate,16,Mouse,electronics,India,PayPal,New Delhi,4,60.0,Ali Express,10025,Y,N/A,2023-09-16 10:14:24
26,99,Whitney,84,Cricket Bat,sports,UK,Cryptocurrency,London,3,105.0,Argos,10026,Y,N/A,2023-11-04 07:43:08
27,11,Liam,11,Smart Speaker,electronics,India,PayPal,New Delhi,3,225.0,Ali Express,10027,N,Network error,2023-03-31 12:39:59
28,72,Veronica,23,Jacket,clothing,UK,Debit Card,Manchester,5,520.0,Argos,10028,Y,N/A,2022-10-07 02:20:58
29,29,_-,5,!@$@,-1,India,Debit Card,"",,,Ali Express,10029,Y,N/A,2023-06-26 10:25:15
30,57,Felicity,58,Slow Cooker,home appliances,UK,Cryptocurrency,London,2,450.0,Argos,10030,Y,N/A,2020-12-12 03:09:11
31,7,Henry,64,Biography,books,UK,Cryptocurrency,London,5,60.0,Argos,10031,Y,N/A,2024-10-21 13:09:15
32,71,Ursula,72,Graphic Novel,books,India,PayPal,New Delhi,2,18.5,Ali Express,10032,Y,N/A,2021-05-01 11:32:16
33,32,None,89,-1,_-,UK,Cryptocurrency,_-,,,Argos,10033,Y,N/A,2022-10-16 02:56:01
34,64,Marcus,49,Dishwasher,home appliances,USA,Credit Card,New York,7,2100.0,Amazon,10034,Y,N/A,2020-09-25 18:41:55
35,57,Felicity,45,Toaster,home appliances,USA,Credit Card,LA,6,1488.0,Amazon,10035,Y,N/A,2024-04-27 19:50:58
36,41,Peter,21,Jeans,clothing,UK,Cryptocurrency,London,2,140.0,Argos,10036,Y,N/A,2022-03-30 02:46:57
