City,Country,Continent
Beijing,China,Asia
Shanghai,China,Asia
Guangzhou,China,Asia
Tokyo,Japan,Asia
Osaka,Japan,Asia
Kyoto,Japan,Asia
Seoul,South Korea,Asia
Busan,South Korea,Asia
Incheon,South Korea,Asia
Hanoi,Vietnam,Asia
Ho Chi Minh City,Vietnam,Asia
Da Nang,Vietnam,Asia
New York,United States,North America
Los Angeles,United States,North America
Chicago,United States,North America
Toronto,Canada,North America
Vancouver,Canada,North America
Montreal,Canada,North America
Mexico City,Mexico,North America
Guadalajara,Mexico,North America
Monterrey,Mexico,North America
Paris,France,Europe
Lyon,France,Europe
Marseille,France,Europe
London,United Kingdom,Europe
Manchester,United Kingdom,Europe
Birmingham,United Kingdom,Europe
Berlin,Germany,Europe
Munich,Germany,Europe
Frankfurt,Germany,Europe
Rome,Italy,Europe
Milan,Italy,Europe
Naples,Italy,Europe
Madrid,Spain,Europe
Barcelona,Spain,Europe
Valencia,Spain,Europe
